index,row,col
2058,"[[1], [4], [1, 2], [1, 1, 1], [1, 3]]","[[1, 2], [2], [1, 2], [3, 1], [3]]"
2059,"[[3], [3, 1], [3, 1], [1, 2], [2, 1]]","[[3], [3, 1], [5], [1, 1], [2, 1]]"
2060,"[[4], [2], [2], [1, 1], [1, 1]]","[[1, 1], [2, 1], [1, 1, 1], [1, 2], [1]]"
2061,"[[3], [3], [3], [1], [1, 2]]","[[1], [3, 1], [3], [1, 3], [1]]"
2062,"[[5], [4], [1, 1], [1, 1], [1]]","[[1], [2, 1], [3], [2, 2], [3]]"
2063,"[[2], [4], [1, 3], [2, 1], [3]]","[[2], [1, 2], [5], [3, 1], [2]]"
2064,"[[3], [1, 2], [1], [1], [1, 1]]","[[1, 2], [2, 1], [1], [1, 1], [1]]"
2065,"[[1], [1], [1, 1], [1, 2], [5]]","[[2, 1], [1, 2], [1], [2], [3]]"
2066,"[[1, 1], [1], [4], [1, 1], [1]]","[[3], [1], [4], [1], [1]]"
2067,"[[1, 1, 1], [3], [3], [2], [1]]","[[3], [2], [3], [2], [1, 1]]"
2068,"[[1], [1, 1], [2, 1], [1], [3, 1]]","[[1, 1], [1, 1, 1], [4], [0], [1, 1]]"
2069,"[[1, 1], [1, 1], [1, 1], [1], [1]]","[[0], [2], [1, 2], [0], [3]]"
2070,"[[1, 1], [2], [2, 1], [2, 1], [1, 1]]","[[1, 2], [2], [1], [2], [2, 2]]"
2071,"[[0], [1, 2], [2], [4], [4]]","[[1], [2], [1, 2], [4], [3]]"
2072,"[[3], [1, 2], [2, 1], [2, 1], [2]]","[[4], [1, 3], [1], [4], [1]]"
2073,"[[3, 1], [3, 1], [1, 3], [1, 2], [2, 1]]","[[4], [2, 1], [5], [2], [3, 1]]"
2074,"[[5], [1, 1], [2, 1], [1, 1], [1, 2]]","[[5], [1, 1], [1, 1], [5], [1]]"
2075,"[[2, 1], [1, 1], [3, 1], [0], [4]]","[[1], [3, 1], [1, 1, 1], [1, 1], [1, 1, 1]]"
2076,"[[1, 1], [1, 1], [1], [5], [1, 3]]","[[4], [1, 1], [1, 2], [2], [1, 2]]"
2077,"[[1], [0], [2, 1], [1, 1], [3]]","[[1, 1, 1], [1, 1], [2], [0], [2]]"
2078,"[[1], [2], [2], [3, 1], [1]]","[[1, 1], [3], [3], [0], [2]]"
2079,"[[0], [3, 1], [4], [1, 2], [1, 1]]","[[4], [2], [3], [2], [1, 1]]"
2080,"[[2, 1], [3], [2], [1, 1, 1], [1, 2]]","[[1, 3], [1, 1], [1, 1], [2, 1], [1, 2]]"
2081,"[[1, 2], [4], [1, 3], [1], [1, 2]]","[[1, 3], [1], [3], [3, 1], [2, 1]]"
2082,"[[2, 2], [4], [2, 1], [2, 1], [4]]","[[1, 3], [5], [1, 1], [2, 2], [3]]"
2083,"[[1, 1], [1], [4], [1, 1], [2, 2]]","[[1, 2], [1, 1], [3], [1, 1], [3]]"
2084,"[[1, 3], [1, 1], [1, 2], [1, 1], [2]]","[[1], [1], [2, 2], [1, 1, 1], [4]]"
2085,"[[1, 2], [2], [2, 1], [1], [1, 1]]","[[3, 1], [2], [1, 1], [1, 1, 1], [0]]"
2086,"[[5], [1, 1], [2, 1], [2], [1, 1, 1]]","[[5], [1, 2], [1, 1], [2], [1, 1, 1]]"
2087,"[[1, 2], [1], [1], [3, 1], [1]]","[[4], [1], [1, 1], [1, 1], [1]]"
2088,"[[3], [2, 1], [2, 1], [4], [3, 1]]","[[2, 1], [4], [1, 2], [4], [1, 2]]"
2089,"[[2], [2, 1], [1], [2], [2, 1]]","[[1], [1, 1], [3], [2, 1], [1, 1]]"
2090,"[[2], [3], [4], [1, 1], [1, 2]]","[[1, 1], [3, 1], [3], [3], [1, 1]]"
2091,"[[1, 1], [1, 1], [1, 1, 1], [2], [3]]","[[2], [1], [1, 1], [1, 2], [1, 3]]"
2092,"[[2], [1, 1, 1], [3, 1], [3], [1]]","[[2], [2], [4], [1, 1], [2, 1]]"
2093,"[[3], [1], [1, 1], [4], [2]]","[[2], [4], [1, 1], [1, 1], [1, 1]]"
2094,"[[1, 1], [4], [2], [1, 3], [2]]","[[1, 1], [3], [3], [1, 2], [1, 2]]"
2095,"[[1, 1, 1], [1, 2], [2], [2], [4]]","[[2], [1, 1], [5], [1, 2], [1, 1]]"
2096,"[[1, 1], [5], [4], [2, 1], [4]]","[[5], [4], [3, 1], [2, 1], [1, 1]]"
2097,"[[2], [1, 1], [1, 1], [1, 2], [4]]","[[1, 1], [1], [1, 1, 1], [2, 2], [3]]"
2098,"[[3], [2, 1], [1, 1], [1], [2]]","[[1, 1], [1], [1, 1], [1, 1], [3, 1]]"
2099,"[[2, 2], [3], [2], [1, 1], [3]]","[[1, 1], [1, 2], [2, 1], [4], [2]]"
2100,"[[2, 1], [1, 1], [3], [2], [1, 1]]","[[1, 2], [1, 2], [3], [1], [1, 1]]"
2101,"[[2, 1], [2], [2], [1, 1], [1]]","[[1, 2], [3], [1], [1], [2]]"
2102,"[[0], [5], [4], [1, 2], [1]]","[[1, 1], [2, 1], [3], [3], [2]]"
2103,"[[1, 1], [2, 1], [4], [4], [5]]","[[2, 2], [4], [1, 3], [3], [2, 1]]"
2104,"[[1, 1], [1], [3], [3], [1, 1, 1]]","[[1, 1, 1], [3], [3], [1], [1, 1]]"
2105,"[[5], [2, 1], [5], [1, 1], [3]]","[[3, 1], [3, 1], [1, 3], [3], [1, 2]]"
2106,"[[2, 1], [2, 1], [1, 3], [3, 1], [1]]","[[1, 3], [2, 1], [3], [1, 1], [3]]"
2107,"[[2], [2], [2, 1], [5], [0]]","[[2], [1, 2], [1, 1], [3], [1, 1]]"
2108,"[[2, 1], [2], [1, 1], [1, 2], [4]]","[[1], [3, 1], [2, 2], [3], [1, 1]]"
2109,"[[1, 1], [1], [4], [3, 1], [1]]","[[1], [1, 2], [2], [3], [3]]"
2110,"[[3], [1, 1, 1], [1, 1], [1], [1, 2]]","[[1], [3], [2], [1, 1], [3, 1]]"
2111,"[[1], [2], [4], [1, 1], [2, 1]]","[[1, 1], [1, 1], [3], [2], [3]]"
2112,"[[2, 1], [1, 1], [2], [2, 2], [2, 1]]","[[2, 2], [1, 2], [1], [4], [2]]"
2113,"[[4], [2, 2], [1, 1], [1], [1, 1, 1]]","[[2, 1], [3], [1, 1], [4], [1, 1]]"
2114,"[[2, 1], [1, 2], [2], [5], [3]]","[[1, 1], [1, 3], [1, 3], [1, 2], [2, 1]]"
2115,"[[1, 1, 1], [1, 1], [2], [1], [3]]","[[3], [1, 1], [2, 1], [2], [1]]"
2116,"[[1, 1], [1], [3], [2], [1, 1]]","[[3, 1], [1], [1, 2], [2], [0]]"
2117,"[[5], [1], [5], [3], [0]]","[[1, 1], [1, 2], [1, 2], [1, 2], [3]]"
2118,"[[1, 1], [1, 1], [1, 1], [1, 3], [1]]","[[2, 1], [1, 1], [2, 1], [2], [1]]"
2119,"[[2, 1], [2], [3], [1], [3]]","[[1, 1], [1, 2], [2, 1], [3], [1]]"
2120,"[[2], [1, 2], [2], [2], [2, 2]]","[[4], [1, 3], [1], [1, 1], [1, 1]]"
2121,"[[3, 1], [1, 1], [2, 2], [2, 1], [1, 1]]","[[5], [1, 2], [1], [2, 1], [1, 2]]"
2122,"[[1, 1], [0], [3, 1], [0], [2]]","[[1], [1, 1], [1, 1, 1], [0], [1, 1]]"
2123,"[[2, 1], [2, 2], [5], [3], [1, 1]]","[[2], [5], [1, 2], [3], [3, 1]]"
2124,"[[1, 3], [1, 3], [3], [1, 2], [3]]","[[4], [1, 1], [3, 1], [2, 2], [2, 1]]"
2125,"[[1, 2], [1, 1], [1, 1], [1, 2], [1, 3]]","[[2, 1], [1], [3, 1], [1, 2], [3]]"
2126,"[[2], [2, 2], [3], [2], [1, 3]]","[[2, 1], [3], [1, 3], [1, 2], [1, 1]]"
2127,"[[4], [3, 1], [1, 1], [2], [2]]","[[1, 1], [2, 2], [3, 1], [1], [3]]"
2128,"[[2, 1], [1], [3], [3], [1, 1]]","[[1], [4], [3], [1, 2], [1]]"
2129,"[[2], [5], [2], [3], [0]]","[[2], [2], [2, 1], [2, 1], [1, 1]]"
2130,"[[1, 2], [1], [3], [2, 2], [1, 2]]","[[2], [1, 1], [1], [5], [1, 3]]"
2131,"[[2, 1], [5], [1, 2], [1], [1, 1]]","[[3, 1], [2], [1], [2], [5]]"
2132,"[[1], [1], [2, 2], [1, 1], [3, 1]]","[[3], [1, 1, 1], [2], [1], [2, 1]]"
2133,"[[3, 1], [1, 3], [4], [1], [1, 1]]","[[2, 1], [1, 1], [3, 1], [3], [3]]"
2134,"[[1, 1, 1], [3], [1], [1], [2, 2]]","[[1, 1], [1, 2], [2], [2, 1], [1, 1]]"
2135,"[[1, 1], [1], [4], [4], [1, 2]]","[[3], [2], [1, 3], [3], [2]]"
2136,"[[1], [3], [3], [4], [2]]","[[1], [2], [3], [3], [4]]"
2137,"[[2, 1], [3], [1, 1], [2], [2, 2]]","[[2, 1], [3, 1], [1], [1, 3], [2]]"
2138,"[[4], [3], [2], [1, 2], [3]]","[[1, 1], [2], [2, 1], [1, 3], [1, 3]]"
2139,"[[1, 1], [1, 1], [1], [1], [1]]","[[1], [1], [2], [0], [1, 1, 1]]"
2140,"[[3], [3], [3, 1], [1, 1], [1, 1]]","[[1, 2], [3], [5], [1], [1, 1]]"
2141,"[[4], [1, 2], [3], [1], [2]]","[[1, 1], [1, 1], [1, 2], [3], [3]]"
2142,"[[4], [3, 1], [2, 1], [3], [1, 2]]","[[5], [4], [2, 2], [1, 1, 1], [1]]"
2143,"[[1], [1, 1, 1], [2, 1], [0], [1, 2]]","[[1], [1, 1], [2], [1], [3, 1]]"
2144,"[[2], [3, 1], [1, 1], [1], [3]]","[[2, 1], [5], [1, 1], [0], [2]]"
2145,"[[1, 2], [3], [2, 1], [1, 3], [2]]","[[1, 1], [2, 1], [5], [2, 1], [2]]"
2146,"[[0], [3], [1, 1], [1, 1], [4]]","[[1], [2, 1], [1, 1], [2, 1], [2]]"
2147,"[[0], [4], [2], [2, 1], [1]]","[[2], [3], [1, 1], [1], [1, 1]]"
2148,"[[3], [1, 1], [1, 1, 1], [2, 1], [2]]","[[2], [1, 2], [1, 1, 1], [1, 1], [3]]"
2149,"[[1, 1], [1, 2], [2, 1], [3], [2]]","[[1, 1], [3], [1, 3], [1], [3]]"
2150,"[[2, 1], [1], [4], [4], [2, 1]]","[[1, 1, 1], [1, 3], [2], [3], [2, 1]]"
2151,"[[2], [3], [2, 1], [1, 3], [1, 2]]","[[3], [1], [2, 2], [5], [1, 1]]"
2152,"[[1], [4], [2], [1, 2], [2, 2]]","[[4], [3, 1], [1, 1], [1, 2], [1]]"
2153,"[[1], [1, 1], [1, 2], [3, 1], [4]]","[[2], [2, 2], [2], [1, 1], [4]]"
2154,"[[3], [4], [1, 2], [2], [2, 2]]","[[1, 1, 1], [2, 1], [3], [4], [1, 2]]"
2155,"[[4], [2], [1, 1], [3], [1, 1]]","[[1], [1], [4], [2, 2], [1, 2]]"
2156,"[[2], [2, 1], [2, 1], [2], [1, 1]]","[[2], [3, 1], [2], [1, 2], [1]]"
2157,"[[3], [2, 2], [1, 2], [3], [1, 1]]","[[2, 2], [4], [1, 2], [2], [2]]"
2158,"[[1], [3], [4], [1, 1], [1, 2]]","[[1, 2], [2], [4], [1, 1, 1], [1]]"
2159,"[[2, 1], [1, 3], [1, 2], [1], [1, 1]]","[[2, 1], [1, 1], [1], [5], [2]]"
2160,"[[1, 3], [2, 1], [3, 1], [1], [4]]","[[1, 1, 1], [2, 1], [3, 1], [1, 1], [4]]"
2161,"[[1, 1, 1], [1], [1, 2], [1], [2, 2]]","[[1, 1, 1], [1, 1], [1, 1], [3], [1, 1]]"
2162,"[[2, 1], [3], [1, 3], [5], [2]]","[[5], [2, 2], [3], [2], [1, 2]]"
2163,"[[2, 1], [2], [2, 1], [3, 1], [2]]","[[5], [5], [1], [1], [1, 1]]"
2164,"[[3], [0], [2, 1], [1], [2]]","[[1, 2], [1, 1], [1, 1], [1], [1]]"
2165,"[[1, 2], [1, 3], [1, 1], [1], [1]]","[[2], [1], [3, 1], [2], [2]]"
2166,"[[2], [2, 1], [1], [1], [1, 3]]","[[1, 1], [1, 1], [1], [1, 1, 1], [2, 1]]"
2167,"[[2], [1, 1], [4], [3], [1, 1]]","[[2], [3], [1, 2], [3, 1], [1]]"
2168,"[[2], [2, 1], [1], [2, 1], [1]]","[[2, 1], [1, 1], [1, 1], [1], [1, 1]]"
2169,"[[1, 1], [1, 3], [5], [3], [1, 2]]","[[5], [2], [5], [2, 1], [2]]"
2170,"[[2, 2], [4], [1], [2, 2], [1, 1]]","[[1, 2], [2, 1], [1], [4], [2, 2]]"
2171,"[[1, 1], [3], [1], [4], [2]]","[[1], [2, 1], [1, 2], [5], [0]]"
2172,"[[1], [1, 2], [4], [2], [5]]","[[1], [2, 1], [1, 3], [4], [2, 1]]"
2173,"[[4], [5], [3], [2, 1], [2, 1]]","[[2, 2], [5], [3], [3, 1], [1, 1]]"
2174,"[[4], [1, 2], [1, 1], [3, 1], [5]]","[[1, 2], [1, 3], [2, 2], [2, 1], [1, 3]]"
2175,"[[2, 2], [2, 1], [1, 2], [1, 1], [5]]","[[2, 2], [3, 1], [1], [3, 1], [1, 3]]"
2176,"[[3], [1], [1], [2, 1], [3]]","[[1, 1], [2], [1, 1], [1, 1, 1], [1, 1]]"
2177,"[[1, 1], [3], [1], [5], [2]]","[[1, 2], [4], [1, 1], [1, 1], [1, 1]]"
2178,"[[1, 3], [1], [2, 1], [1, 2], [1]]","[[1, 3], [1], [2, 1], [1, 2], [1]]"
2179,"[[4], [4], [1], [3], [2, 1]]","[[3], [2, 2], [2, 1], [2], [2, 1]]"
2180,"[[1, 2], [3, 1], [1, 1], [3], [2, 1]]","[[4], [1, 2], [2, 2], [1, 1], [1, 1]]"
2181,"[[2, 1], [3], [1, 1], [3], [4]]","[[1, 1], [1, 2], [4], [1, 2], [3]]"
2182,"[[5], [1, 1], [3], [5], [1, 1]]","[[5], [1, 2], [1, 2], [1, 1], [2, 2]]"
2183,"[[4], [0], [3], [1], [1, 1]]","[[1], [1], [1, 1, 1], [1, 1], [1, 1, 1]]"
2184,"[[1, 3], [1, 2], [1, 1, 1], [1], [3]]","[[3, 1], [1], [3, 1], [2], [1, 2]]"
2185,"[[1, 1], [2, 2], [2, 1], [3], [3, 1]]","[[3, 1], [4], [2], [2, 1], [2, 1]]"
2186,"[[1], [1, 1], [5], [1, 3], [2]]","[[1, 3], [2, 1], [2], [2], [3]]"
2187,"[[2], [2, 2], [2], [3, 1], [1]]","[[3], [4], [1, 1], [2], [1, 1]]"
2188,"[[1], [2], [2], [1, 2], [1, 1]]","[[1], [1], [4], [2], [1, 1]]"
2189,"[[1, 1, 1], [1], [1, 2], [4], [2, 2]]","[[1, 3], [1, 2], [1, 2], [3], [1, 1]]"
2190,"[[1], [3], [5], [4], [1]]","[[2], [3], [3], [1, 2], [3]]"
2191,"[[3, 1], [3], [1, 2], [3], [1, 2]]","[[1, 1, 1], [1], [2, 1], [4], [5]]"
2192,"[[2], [4], [1, 1], [2], [4]]","[[1], [1, 1], [1, 2], [2, 2], [3, 1]]"
2193,"[[2, 1], [3], [1], [1, 1], [1, 2]]","[[1, 1], [1, 1, 1], [1, 1], [2, 1], [1, 1]]"
2194,"[[2, 2], [2, 2], [5], [2, 1], [1, 2]]","[[5], [4], [1, 1], [3, 1], [4]]"
2195,"[[1], [2], [2, 1], [1, 2], [1, 1]]","[[2], [1, 1], [1], [1, 1], [1, 3]]"
2196,"[[1, 1], [2, 2], [3], [4], [2]]","[[2, 1], [4], [3], [3], [2]]"
2197,"[[3], [1], [1, 1, 1], [2, 1], [3]]","[[3], [2], [1, 1, 1], [1, 1], [1, 2]]"
2198,"[[1], [4], [1, 2], [5], [1, 3]]","[[1, 2], [3], [1, 2], [4], [4]]"
2199,"[[1, 1], [4], [4], [1, 1], [3]]","[[3], [3, 1], [2, 1], [2, 1], [1, 1]]"
2200,"[[1, 1], [1, 1], [1, 1], [1, 1, 1], [5]]","[[1, 2], [1, 1, 1], [2], [1, 1, 1], [1, 2]]"
2201,"[[3], [1], [1, 1], [2, 1], [4]]","[[2], [2], [1, 2], [1, 1, 1], [1, 2]]"
2202,"[[2, 1], [1, 1], [4], [3], [2]]","[[3], [1, 1], [3], [3], [2, 1]]"
2203,"[[2, 2], [1, 1], [1], [3], [4]]","[[1, 1], [1, 1], [1, 2], [1, 3], [2, 1]]"
2204,"[[2, 1], [1, 2], [3], [1], [1]]","[[1], [3], [1], [5], [1]]"
2205,"[[2, 2], [2], [1, 2], [2], [2]]","[[1, 1], [2], [2], [1, 3], [1, 2]]"
2206,"[[2, 1], [2], [3], [1, 1, 1], [1, 1]]","[[1, 3], [1, 1], [4], [2], [1]]"
2207,"[[1, 1], [4], [1, 3], [1], [1, 3]]","[[1, 1], [2, 1], [2, 1], [2, 1], [3, 1]]"
2208,"[[1, 2], [3, 1], [3], [1, 2], [1, 1]]","[[2, 1], [2, 1], [2], [1, 2], [2, 2]]"
2209,"[[2], [1], [2], [2, 1], [1, 1]]","[[1, 1], [1, 1], [2, 1], [2], [1]]"
2210,"[[2, 1], [3], [1], [1], [5]]","[[1, 1], [1, 2], [1, 1], [1, 1], [3, 1]]"
2211,"[[3], [2, 2], [3, 1], [2], [2, 1]]","[[2], [2, 1], [1, 3], [2, 1], [3, 1]]"
2212,"[[0], [2, 1], [3], [1, 2], [1]]","[[3], [2], [1, 1], [1], [1, 1]]"
2213,"[[1, 1], [1], [1], [5], [2, 1]]","[[1, 1], [4], [2], [1], [1, 2]]"
2214,"[[1, 1], [2], [3], [1], [1, 1]]","[[4], [3], [1, 1], [0], [1]]"
2215,"[[1, 1, 1], [2], [1], [2], [2, 1]]","[[1, 1], [1, 2], [4], [0], [1, 1]]"
2216,"[[2, 1], [2, 1], [3], [1], [1, 2]]","[[1, 1], [3], [1, 1, 1], [3], [2]]"
2217,"[[3], [5], [3], [2, 2], [1]]","[[1, 1], [2, 1], [3], [5], [3]]"
2218,"[[2], [1, 1, 1], [2, 1], [1, 1], [3]]","[[2, 1], [1, 1], [2, 1], [2], [2, 1]]"
2219,"[[2], [2, 2], [1, 1], [2], [0]]","[[1, 1], [3], [1], [3], [1]]"
2220,"[[2, 1], [2], [1, 2], [4], [1, 1]]","[[0], [1, 3], [1, 1], [3], [5]]"
2221,"[[3, 1], [1, 1], [1, 2], [1, 2], [1, 1]]","[[1, 2], [1], [3, 1], [2], [2, 2]]"
2222,"[[3, 1], [3], [1, 1, 1], [1], [1, 1]]","[[1, 1, 1], [1], [5], [1], [3]]"
2223,"[[2, 2], [2], [1, 1], [1], [1, 1]]","[[2, 1], [2], [1, 1], [1], [1, 1, 1]]"
2224,"[[5], [0], [1, 2], [1, 1], [1, 2]]","[[1, 3], [1], [1, 1, 1], [1, 1, 1], [1, 1]]"
2225,"[[1], [4], [3], [2, 2], [3]]","[[3], [4], [2, 1], [2, 2], [1]]"
2226,"[[1, 2], [1], [3], [1], [0]]","[[1, 2], [1], [1, 1], [2], [0]]"
2227,"[[1, 1, 1], [1, 2], [2, 2], [1, 1], [1, 3]]","[[1, 3], [2], [1, 2], [2, 1], [3, 1]]"
2228,"[[1, 1, 1], [1, 1], [2], [1], [2, 1]]","[[2, 1], [1, 1], [4], [1], [1]]"
2229,"[[4], [1, 2], [4], [4], [1, 1]]","[[5], [1, 2], [1, 3], [4], [1]]"
2230,"[[1, 1], [4], [3], [1], [3]]","[[1], [1, 2], [2, 1], [2, 1], [3]]"
2231,"[[3], [2], [1, 2], [1], [4]]","[[1, 1], [1], [1, 1], [3, 1], [4]]"
2232,"[[3], [1, 2], [4], [4], [4]]","[[1, 1], [3], [1, 3], [5], [4]]"
2233,"[[3], [1, 1], [5], [1, 2], [5]]","[[3, 1], [1, 3], [1, 1, 1], [3], [4]]"
2234,"[[1], [1], [1, 1], [4], [1, 1, 1]]","[[3], [1], [1, 2], [1], [1, 1, 1]]"
2235,"[[2, 2], [2], [1, 1], [3], [1, 1, 1]]","[[1, 3], [1, 1], [2], [2], [3, 1]]"
2236,"[[2], [2, 1], [1, 2], [1, 2], [1]]","[[2], [1, 2], [0], [1, 2], [4]]"
2237,"[[1, 1, 1], [1], [1, 1, 1], [1], [2, 2]]","[[1, 1, 1], [1], [1, 1], [1], [5]]"
2238,"[[2], [2, 1], [2], [2], [2, 1]]","[[1, 2], [5], [2], [0], [1, 1]]"
2239,"[[3], [1, 3], [1, 1], [4], [2, 1]]","[[4], [1, 2], [4], [2, 1], [1, 1]]"
2240,"[[2, 1], [1], [1], [1, 2], [2]]","[[1, 1], [1, 1], [2], [2, 1], [1]]"
2241,"[[1, 3], [1], [1], [1, 1], [3, 1]]","[[1, 2], [1], [2, 1], [1], [1, 3]]"
2242,"[[2], [1, 1], [3], [3], [3, 1]]","[[2, 1], [1, 3], [5], [1], [1]]"
2243,"[[1], [1, 1], [2, 2], [1, 2], [1]]","[[3], [1, 1, 1], [0], [3], [2]]"
2244,"[[2, 2], [5], [2], [3, 1], [3]]","[[2, 2], [2, 2], [1, 2], [3], [4]]"
2245,"[[5], [5], [2, 1], [1], [1, 1]]","[[3], [3, 1], [2], [5], [2]]"
2246,"[[2], [4], [1, 2], [1, 1], [1]]","[[3], [2, 1], [1], [4], [1]]"
2247,"[[1, 1], [1], [4], [4], [2]]","[[0], [1, 3], [4], [1, 2], [2]]"
2248,"[[1, 2], [4], [4], [2, 1], [1, 2]]","[[2, 1], [4], [3], [3, 1], [1, 2]]"
2249,"[[1], [5], [1], [1], [3]]","[[1, 1], [4], [2, 1], [1], [1]]"
2250,"[[1, 1], [1, 2], [1, 1, 1], [2], [1]]","[[3], [1], [2], [2], [2, 1]]"
2251,"[[1], [1, 1], [2, 1], [1], [1, 1]]","[[1, 1], [1], [2, 2], [1], [1]]"
2252,"[[5], [1, 2], [2], [3], [1, 1, 1]]","[[2, 2], [1, 2], [1, 3], [2], [2, 1]]"
2253,"[[2, 1], [4], [3], [1], [2]]","[[1, 1], [5], [3], [2], [1]]"
2254,"[[2], [3], [1], [2, 1], [2]]","[[3], [2], [1], [2, 1], [2]]"
2255,"[[2], [0], [2, 1], [2], [2, 1]]","[[0], [3], [3], [1], [1, 1, 1]]"
2256,"[[3], [1, 2], [1, 1], [1, 1], [0]]","[[3], [1, 1], [2], [1], [2]]"
2257,"[[1, 2], [2, 1], [2], [2], [3, 1]]","[[1, 3], [4], [2, 1], [1], [1, 1]]"
2258,"[[1, 2], [3], [1, 1], [1, 1], [4]]","[[1, 3], [1], [3, 1], [2, 1], [1, 1]]"
2259,"[[1], [1, 2], [2, 1], [2], [0]]","[[1], [3], [1], [1, 1], [2]]"
2260,"[[1, 1], [4], [3], [1, 2], [2, 1]]","[[2, 2], [2, 1], [4], [3], [1]]"
2261,"[[2, 1], [1], [2], [2, 1], [4]]","[[5], [1, 3], [1], [1, 1], [1]]"
2262,"[[1, 1], [1, 1], [1], [3], [2]]","[[1], [2], [2, 2], [1], [1, 1]]"
2263,"[[4], [2], [1], [1, 1], [2, 2]]","[[1, 2], [2, 1], [1], [1, 1], [1, 3]]"
2264,"[[3, 1], [3, 1], [4], [1, 2], [1, 1]]","[[2, 1], [4], [3], [2], [5]]"
2265,"[[1, 1], [3, 1], [2], [4], [2]]","[[2, 1], [1, 1], [1, 2], [1, 3], [2]]"
2266,"[[1, 1], [1, 1, 1], [4], [1, 1], [2, 2]]","[[2, 1], [3], [2], [1, 1], [5]]"
2267,"[[2], [1, 1, 1], [1, 1], [3], [4]]","[[1, 2], [1, 2], [5], [1], [2]]"
2268,"[[1, 2], [2], [2, 2], [2, 1], [1]]","[[1, 2], [4], [2], [1, 2], [1]]"
2269,"[[0], [5], [3], [2], [1, 1]]","[[1, 1], [1, 2], [2], [2], [2, 1]]"
2270,"[[1, 1], [1, 1], [1, 3], [1, 1], [1, 1]]","[[1], [1, 2], [1, 1], [1, 1], [4]]"
2271,"[[3], [1, 1], [1, 1], [2, 1], [5]]","[[3], [2], [2, 1], [1, 2], [3, 1]]"
2272,"[[0], [1, 2], [1, 2], [1, 1, 1], [3]]","[[1, 1], [1, 1], [1, 2], [2, 1], [2]]"
2273,"[[1], [5], [4], [2, 1], [2, 2]]","[[2, 1], [4], [4], [2, 1], [1, 2]]"
2274,"[[2, 1], [1, 1, 1], [2], [1], [1]]","[[4], [1, 1, 1], [1], [1], [1]]"
2275,"[[3], [4], [2, 1], [3], [1, 2]]","[[1, 1], [3], [5], [2, 2], [2]]"
2276,"[[2, 1], [1], [3], [3], [3]]","[[1], [1, 1], [1, 3], [2, 1], [1, 1, 1]]"
2277,"[[2, 1], [2], [2, 2], [2, 1], [4]]","[[4], [5], [1], [1, 1, 1], [3]]"
2278,"[[4], [3], [5], [1, 2], [1]]","[[1], [1, 2], [3], [4], [5]]"
2279,"[[1, 1, 1], [3], [4], [5], [2, 2]]","[[1, 2], [3], [4], [4], [5]]"
2280,"[[2], [2, 1], [3, 1], [0], [1, 2]]","[[1, 1], [3, 1], [2], [1], [2, 1]]"
2281,"[[4], [1, 2], [1, 2], [2], [2]]","[[2, 1], [1, 2], [1, 1], [3, 1], [2]]"
2282,"[[1, 1], [1], [3], [1, 1], [1, 3]]","[[1, 1], [4], [1, 1], [1], [1, 2]]"
2283,"[[1, 1], [5], [1, 1, 1], [4], [3, 1]]","[[3, 1], [1, 2], [4], [1, 1], [5]]"
2284,"[[3], [1, 2], [1, 1], [1, 1], [3, 1]]","[[2, 2], [1, 1, 1], [2, 2], [1], [1, 1]]"
2285,"[[0], [2], [1, 2], [3, 1], [1, 1]]","[[3], [1, 1], [1, 1], [1, 1], [2]]"
2286,"[[2, 1], [3], [2], [1], [4]]","[[1, 1], [1, 1], [2, 1], [5], [1]]"
2287,"[[5], [3], [2, 2], [1, 1], [1, 1]]","[[1, 3], [1, 1], [2], [3], [5]]"
2288,"[[1], [1, 1], [3, 1], [1, 1], [2]]","[[1], [4], [1], [2], [2, 1]]"
2289,"[[2], [3], [2, 1], [2, 2], [1, 1]]","[[2], [3], [2], [2, 2], [1, 2]]"
2290,"[[1, 1, 1], [3], [4], [1], [1, 1]]","[[2, 1], [2], [5], [1], [1, 1]]"
2291,"[[2], [1, 1], [1], [2, 1], [3]]","[[1, 1], [5], [1], [2], [1]]"
2292,"[[1], [1, 1, 1], [1], [1, 1], [1]]","[[2, 1], [0], [1], [2], [2]]"
2293,"[[2, 2], [4], [5], [2, 2], [1, 1]]","[[4], [5], [2], [4], [1, 3]]"
2294,"[[4], [1], [1, 1], [0], [2, 2]]","[[1], [1, 1, 1], [2], [1, 1], [1, 1, 1]]"
2295,"[[1], [3], [2, 1], [2], [1, 2]]","[[1, 1], [3], [1, 2], [3, 1], [0]]"
2296,"[[1], [2], [1, 1], [1, 1], [1, 1]]","[[3], [2, 1], [0], [0], [3]]"
2297,"[[2], [1, 1, 1], [4], [4], [2]]","[[1], [1, 2], [4], [3], [4]]"
2298,"[[2], [1], [4], [2], [1, 2]]","[[0], [1, 1, 1], [1, 1], [4], [3]]"
2299,"[[3], [3], [2, 1], [1, 1], [2, 1]]","[[2], [1, 1], [3], [2, 2], [3]]"
2300,"[[2, 2], [3, 1], [1, 1], [0], [1]]","[[2], [3, 1], [1], [1], [3]]"
2301,"[[1, 1, 1], [1], [3], [3, 1], [1, 1]]","[[1, 2], [2], [1, 3], [0], [2, 2]]"
2302,"[[3], [0], [4], [1, 2], [3]]","[[1, 2], [1, 1, 1], [1, 3], [2], [1]]"
2303,"[[1, 1], [4], [1, 1], [2], [1]]","[[1, 1], [1, 1], [2], [2], [2, 1]]"
